Quest Name,Category,Walkthrough,Objectives
Space_Oddity,Cyberpunk_2077,"In the south side of Santo Domingo, you will come across a group of homeless men crowded around a corpo briefcase, unable to open it. You can convince them to hand it over before they get hurt, either by threatening them (requires Body) or paying them off.
Once the briefcase is V's, you will be tasked to find the body of its former owner, who can be found by following a scannable blood trail to the nearby dumpsters. From the corpse of the hapless corpo, you will retrieve an access card that can be used to open the locked briefcase. Alternatively, you can hack it open (requires Intelligence). Either way, open the file launch.exe on the computer; this will send a signal triggering something to drop from orbit. You will be directed to a new objective about two kilometers to the south, in the Badlands.
Go to the new marker, but be wary of a Militech response team that was also dispatched to the area. All seven soldiers will need to be taken out before the pod can be accessed. Once done, open the pod, and Johnny will comment it is a valuable painting, likely from a wealthy highrider on the moon.
Once looted, the Untitled 18 – Brancesi, 2021 will be on display in V's Apartment.","Talk to the bums.
Find the body of the suitcase's owner.
Examine the suitcase. [Optional]
If the body was found:
Slot the access shard into the suitcase.
Browse the files on the computer.
Go to the drop point.
Defeat all enemies. [0/7]
Open the package.
Talk to Johnny."
"Small_Man,_Big_Mouth",Cyberpunk_2077,"After Jackie's ofrenda, Kirk Sawyer will reach out to V about a new gig and wants you to meet with him at the El Coyote Cojo. When meeting with Kirk, he will tell V about having heard about experimental Militech cyberware straight from a lab in Shanghai is up for grabs, and flick you the coordinates on where you'll meet.
Make your way to the Tirempire Auto Shop autoshop in Arroyo, Santo Domingo and meet up with Kirk Sawyer and Big Joe. Kirk will instruct you to retrieve the Militech cyberware from the back of the delivery van. He will also guarantee that the location is all clear. The rewards will be split evenly.
When you reach the auto shop, you will see several Valentinos Thugs there, making the location far from clear. After taking out the thugs, go to the delivery van and open its back doors. In the back you'll find no experimental Militech cyberware, and only a fake SEMURAI jacket.
While making your way back to Kirk and Big Joe, you hear gunshots in the distance. Arriving at the meeting point, you'll encounter a Valentino by the name of Thomas Hays and two of his thugs. They appear to have shot down Kirk and Big Joe, and explain to V that they lured Kirk into a trap in order to kill him. V will be given the option to walk away or be able to strike down the Valentinos, both leading into the completion of the gig.",This section requires expanding. Click here to add more.📝
Motorbreath,Cyberpunk_2077,This section requires expanding. Click here to add more.📝,"Check the highway in Watson for a red Semimaru.
Search for the Red Semimaru that River described.
Pursue and stop the Semimaru.
Defeat the drivers.
Investigate the Semimaru.
Send the info to River."
Sex_on_Wheels,Cyberpunk_2077,"About a day after returning Jake Estevez's pickup truck, V is contacted by Jake and instructed to go to a garage at the cargo station in Rancho Coronado, Santo Domingo.
Once at the garage, V can get behind the wheel of their new Quadra Turbo-R V-Tech.","Go to the garage near the cargo station.
Get in the car.
Leave the area."
The_Ballad_of_Buck_Ravers_(quest),Cyberpunk_2077,"This article requires cleanup.[Reason: Rewrite, missing details, choices, steps]
V comes across a street musician playing on a guitar, and Johnny Silverhand will ask if V likes his music. After a brief exchange, Johnny will note that bootlegs of Samurai concerts might still exist. He'll then note that an old club they used to play at, Rainbow Cadenza, is nearby, if they want to check for those bootlegs.
V heads over only to find it is now a food joint, which Johnny will remark on. V head inside and speaks to the staff, who points V to an old vendor nearby who keeps bugging them about the old club. The vendor, Karim Noel, located at a stall nearby, and he'll talk a lot about Samurai and Johnny before V is able ask him about the bootlegs. You'll have to convince him that you're a true Samurai fan before he would even entertain the idea of selling the records to you.
Karim will quiz you. When you call on Johnny for assistance, he'll give you an answer, but when you tell the vendor, it's actually wrong. You can then ask Johnny for the correct one and he'll give it. This time Karim will be impressed and will give you the bootleg for free.
Once V has the SAMURAI Concert Recording, Johnny will discuss the vendor, noting Karim may be a big fan and knows all his lyrics, but never took the time to understand that Johnny was calling for change, and instead Karim remains stuck in the 2020s. Answer Johnny how you wish and the quest will conclude.
If V is a Corpo:
V will then tell a story to the vendor about how if a corpo newbie from Arasaka doesn't make their deadline, the ghost of a man will split him into two, telling the vendor more that the ghost is Johnny Silverhand, impressing him.
If V has a Cool Attribute of 9 or higher:
V can say they have been listening to ""Chipping in"" since they were a kid, further impressing the vendor and giving you the recording.","Talk to Johnny.
Go to the Rainbow Cadenza club.
Talk to Johnny.
Ask the staff about the club.
Talk to the cook.
Find the vendor selling the tapes.
Talk to the vendor.
Persuade the vendor to give you the tapes.
Talk to Johnny."
Murk_Man_Returns_Again_Once_More_Forever,Cyberpunk_2077,"This section requires expanding. Click here to add more.📝Reason: Rewrite from V's perspective
After completing Ghost Town and reaching 40 Street Cred, an undiscovered quest will appear some time after on your map, in the same tunnels where Nash's Raffen Shiv hideout was. The quest starts automatically once you visit the location, where you come across an odd sight: among the darkness and crags of the unfinished tunnel, in an old shipping container, is a jet black Rayfield Caliburn ""Murkmobile"", along with several containers and amenities that imply someone set up shop here or at least intended to do so. A quick search in a nearby container reveals the story. A young man, orphaned by the murder of his parents, resolved himself to become a vigilante, a creature of the night dedicated to fighting the darkness of the city from within the darkness: Murk Man. Unfortunately, Murk Man seems to have abandoned his hideout or, possibly, was killed by the very criminals he had hoped to fight. Still, every vigilante needs a nice ride--hence the Caliburn. And if Murk Man isn't around to make good use of it, you may as well in his stead.","Search the container.
Get in the car."
Spray_Paint,Cyberpunk_2077,"Approach Brendan and talk to him. V can remark on Theo Price, who just talked to the machine, whether or not they actually saw her or not. After some time (can be a day or more), the job marker on the map will reappear. Return to Brendan and a vandal can be caught spray painting the poor machine. Take care of the vandal however you wish and Brendan will thank you and talk a bit before suddenly makes a rather startling comment about you dying. He will then note that he can't read minds, he just picks up on everything he hears and is able to deduce what's going on with various individuals.","Stop the vandal.
Talk to Brendan."
I%27ll_Fly_Away,Cyberpunk_2077,"Shortly after saving Saul Bright from the Wraiths Camp, Mitch Anderson will reach out to V with the request to help him organize Scorpion's funeral at the Mobile Camp.[N 1][N 2]
Upon agreeing to help, Mitch asks V if they can drive his car and follow him, while he drives in Scorpion's car to one of Scorpion's favorite spots.
Arriving at the spot—a collapsed bridge that borders the ravine of the northern Badlands—Mitch reveals that Scorpion's body is in the trunk of the car. V, freaked out by this, asks what Mitch is doing, who responds that Scorpion's final wish was to ""sent off with a bang.""
Mitch instructs V to grab a nearby gas canister filled with CHOOH2 and place it in the passenger seat of the car, as Mitch places Scorpion's body in the driver's seat. After that, Mitch asks V to light the rag he put in the car's gas tank on fire, while he starts the car remotely.
V and Mitch watch on as the car rides off the ramp into the ravine and explodes. Mitch explains to V that it felt right to include them as they are still alive because of them, and gives them Scorpion's Stinger and his beloved good luck charm, an Action Figure, as thanks.[N 3]","Talk to Mitch.
Follow Mitch.
Talk to Mitch.
Get in Mitch's car.
Follow Mitch.
Talk to Mitch.
Take the gas container.
Put the gas container in the passenger seat of Scorpion's car.
Talk to Mitch.
Light the rag on fire.
Follow Mitch.
Talk to Mitch."
Spellbound,Cyberpunk_2077,"This article requires cleanup.[Reason: Rewrite from V's perspective. Usage of {{Condition}}]
Upon approaching the Afterlife after being directed by Rogue to talk to Panam during Ghost Town or completing KOLD MIRAGE, Netrunner Nix messages V and asks them to stop by the Afterlife to discuss a job, which involves purchasing a rare ""The Book of Spells"" from the netrunner R3n0. As simple as the errand appears to be, Nix wants V to buy The Book of Spells in his stead just in case the exchange unexpectedly goes wrong, and he intends to compensate V for both the expense and the pickup. Nix sends R3n0's contact into to V. Call her to set up a meeting.
Travel to the restaurant Au Cabanon in Charter Hill, next to the Lele Park fast travel point. R3n0 is waiting by the bar with a laptop. At this point, V has two ways to get The Book of Spells. The first way is to speak with R3n0 and buy The Book of Spells for 5500 eurodollars, which concludes the deal without violence despite V's misgivings that R3n0 is a scammer. The second way is to avoid paying R3n0 at all by attacking her (scanning her laptop will also immediately turn her hostile), then jacking into her laptop after she is unconscious or dead. The Book of Spells's coordinates are in the laptop's messages, which also reveal how R3n0 came into possession of The Book of Spells: she is an employee of Hard Wire Ltd. named Clarity, and her boss asked her to review the data on an old cyberdeck that had been found in storage in one of their warehouses. Clarity could not get past The Book of Spells's malware, but recognized its value to a more skilled netrunner and decided to sell it without her boss's knowledge.
V is then directed to a shopping plaza across the street. Open the suitcase, tucked away next to a vending machine, to reveal The Book of Spells: a genuine Zetatech XPR tablet. Johnny Silverhand will comment that it was cutting edge tech back in 2020 and he used to own one. Take The Book of Spells. V can optionally crack The Book of Spells themselves before returning to Nix, which can potentially reward cash and some quickhacks.
Return to Nix to hand over The Book of Spells and receive payment. If V has high enough Intelligence, they can point out that The Book of Spells is worth much more than Nix is paying, and he will reluctantly give V a bonus.
Alternatively, V may access the ""Smuggler's Cache"" netpage after receiving Nix's message to see R3n0's post, which will change the objective to call R3n0. V will no longer be able to ask Nix what gig he is offering, and Nix will pretend he is not very interested in The Book of Spells and will not offer to compensate V for the price of purchasing it. But V will now have access to two Cool dialogue options to make Nix pay double or triple his original price. If V does not bargain with Nix, he will pay the same as if he had offered V the gig directly, but if he pays double he will offer 37.5% more and 75% more if he pays triple. V will still have access to the Intelligence option to point out The Book of Spells is worth more, in which case the cool dialogue options cannot be used.[verification needed]","Talk to Nix.
Call R3n0.
Go to the coordinates given by R3n0.
Talk to R3n0.
Defeat R3n0. [Optional]
Steal data from R3n0's computer. [Optional]
Collect the goods from the stash.
Open the stash.
Talk to Johnny.
Take the Book of Spells.
Open your Shards menu and decrypt the Book of Spells. [Optional]
Return to Nix."
Career_Opportunities,Cyberpunk_2077,"After obtaining the high-score in Trauma Drama, you are contacted by Macroware, the developers of the arcade game.
Macroware instructs you to visit the Trauma Team netpage from your computer and navigate to the ""We want YOU!"" tab, and apply for an unpaid internship with Trauma Team. This can be done after logging in under ""Trauma Drama Member Access"" and signing in. On the ""We want YOU!"" page you can apply.
After applying, go to MedCenter to collect your rewards, a Trauma Team uniform and a Mini Trauma Team AV that can be displayed in your apartment","Read the message from Macroware.
Go to the Trauma Team netpage on your computer.
Go to the MedCenter to collect your consolation prize.
Scan your hand to confirm your identity.
Collect your consolation prize."
Only_Pain,Cyberpunk_2077,"This article requires cleanup.[Reason: Turn bullet points into actual events]
V stumbles across three NCPD patrolmen, Corey Aldwyn, Keegan Kelly, and William Becker, beating up a man in an alley, but the situation is not all that it appears. V can intervene by speaking with Officer Aldwyn. V can choose to demand that the officers leave the man alone, which turns them hostile, or turn a blind eye and walk away.
If V has a Streetkid background, they have an additional dialogue option to learn more about the beaten man's circumstances. The man, Nigel Hamilton, is a wealthy corpo who showed an XBD to a girl that put her into a coma. That woman happened to be the daughter of one of Aldwyn's friends, and Aldwyn was taking justice into his own hands since Hamilton's status meant he was going to avoid being charged with a crime. V can then persuade the officers to leave peacefully by volunteering to deal with Hamilton for them.
However the officers are handled, V must then wake and confront Hamilton, leaving the area at this point causes the job to fail. In addition to immediately letting Hamilton go, V can also dig deeper or force him to pay for the help.
If V has 5 Cool: V can demand payment. Hamilton hands over €$2280. V then has two more options, either of which will conclude the side job:
Let Hamilton go.
If V has 5 Body, they can demand all of Hamilton's money. Hamilton gives up an extra €$2660.
If V has 5 Reflexes: V can ask Hamilton to tell the truth about what the cops wanted from him. He will claim to not know and insinuate he was attacked for no reason. V then has two more options, either of which will conclude the side job:
Let Hamilton go.
If V has 13 Cool, they can demand money. Hamilton pays €$2280.
If V has 5 Body, they can demand all of Hamilton's money. Hamilton gives up an extra €$2660.
If V is a Streetkid: V can mention that they know Hamilton is showing spiked XBDs to people. Hamilton will confess that he is aware the XBDs are harmful, and he showed one to the girl deliberately. V then has two more options, either of which will conclude the side job:
Let Hamilton go.
If V has 13 Cool, they can demand money. Hamilton pays €$2280.
If V has 5 Body, they can demand all of Hamilton's money. Hamilton gives up an extra €$2660.
V can also kill Hamilton which will also result in the job being completed. Looting his corpse after extorting ""everything"" from him will result in even more money, indicating Hamilton lied about handing over everything he had.","Defeat the cops.
Wake the corpo.
Talk to the corpo."
Every_Breath_You_Take,Cyberpunk_2077,"This article requires cleanup.[Reason: Add use of {{Condition}}]
To receive this job, V must have resolved amicably the dispute between Kerry Eurodyne and Us Cracks during I Don't Wanna Hear It and completed Off the Leash.
Some time after completing the prerequisite jobs, V will receive a call from Blue Moon, who asks them to help her dealing with a stalker that has sent death threats. If asked, the only clue she can provide is that he signs his letters ""GC"". Her plan is to go for a stroll around Kabuki Roundabout to lure the stalker out so V can catch him in the act. Then she wants V to teach him a lesson without killing him, because that would be bad for Us Cracks' image. V agrees to the plan and meets Blue Moon at Kabuki Roundabout. She will walk through part of the lower level of the roundabout, turn into an alley to the market and then go up to the footbridge.
Right after starting the operation, V notices a suspicious person on the upper level who starts taking photos of Blue Moon. Confronting him will complete the optional objective ""Make sure the stalker isn't lurking on any level of Kabuki Roundabout."". When questioned, he will say he is taking pictures of Blue Moon to sell them. If asked whether he has noticed anything out of the ordinary, he will point out a girl in green who is in every single photo he has taken.
Scanning her reveals that her name is Griselda Martinez. She has a brown ponytail, a green tank top and a pink rabbit backpack. She can be first seen leaning against a wall while Blue Moon is talking to V, then starts following at street level with her head turned towards Blue Moon, who is on the lower level. She will lean against the railing while Blue Moon is confronted by a group of 5 Animals who think they recognize her. After passing them, Blue Moon will stop to browse a magazine display. At this point Griselda will approach her, asking to take a picture together and saying her name is Green Cloud.
If V has been told the stalker's letters were signed GC, they can confront Griselda about her nickname and how she signs her letters, making her hostile. Otherwise, she can still be questioned, but, without any proof, she will just walk away. If followed, she will go to the nearby Weapon Vendor and, if asked what is she doing in a gun shop, she becomes nervous and attacks V.
Alternatively, V can keep following Blue Moon until she reaches the middle of the footbridge, where Green Cloud reappears in front of her, pulling a gun and starting to rant. V should quickly incapacitate Green Cloud before she shoots and kills Blue Moon, failing the job.
In any case, after neutralizing Green Cloud, V can search her body to find a Disturbing Diary and a Marred Still of Blue Moon, a picture with the eyes cut out.
With the stalker revealed and unconscious, Blue Moon asks V what to do. They can either tell her to let the NCPD handle things, or simply kill the stalker. If Green Cloud is killed, Blue Moon will be briefly dismayed. V will justify themselves by saying that stalking is not punished with lifetime imprisonment, and they would have eventually attacked Blue Moon again. If V tells Blue Moon to let the police handle it, she will be worried about the stalker attacking again, with V telling her to simply give them another call in such an event. There are no consequences for either option. Blue Moon leaves and will send V payment soon after.","Go to the meeting spot and wait for Blue Moon.
Make sure the stalker isn't lurking on any level of Kabuki Roundabout. [Optional]
Find the stalker and don't let Blue Moon get hurt.
Defeat the stalker.
Find evidence you got the right person.
Wait for Blue Moon next to the stalker.
Talk to Blue Moon.
Decide the stalker's fate.
Tell Blue Moon that the stalker should go to prison. [Optional]
Kill the stalker. [Optional]
Talk to Blue Moon."
Beat_on_the_Brat,Cyberpunk_2077,"Preliminaries[]
After the initial fight with the training robot, it acts as a tracker for the following side jobs:
Beat on the Brat: Arroyo
Beat on the Brat: Kabuki
Beat on the Brat: Rancho Coronado
Beat on the Brat: The Glen
Only the Kabuki fight can be done during Act 1, as the rest of the locations are inaccessible until Act 2 due to Watson being under NCPD lockdown. Completing all four fights will unlock the championship fight against professional boxer Razor Hugh. To unlock this final fight, you must first complete Transmission.
If V has completed the side job Send in the Clowns—which unlocks after completing the main job Transmission—an optional fifth preliminary fight will be unlocked:
Beat on the Brat: Pacifica
Razor Hugh[]
The championship fight against Razor Hugh is held in the Grand Imperial Mall in Pacifica. The fight starts at 12:01 AM, and if V arrives before that time, they'll be prompted to skip the time on a nearby bench. Before the fight begins, Coach Fred will offer to double V's cash reward if they throw the fight and let Razor win. V can accept, ensuring they will receive the bonus no matter how they lose. If V wins the fight, then regardless of whether they took Fred's offer, they will still receive the standard amount of money as a reward.
Close to where Coach Fred privately speaks to V there is also a child that wants to talk to V. She will mention how her father fought Razor years ago, fell in the third round and despite the referee calling the match, Razor kept attacking, badly injuring him in the process. She says she wants Razor to pay for ruining her family's life.
Among the audience there are all of V's past opponents — Esquerdo & Certo, César Diego Ruiz, Rhino — and Viktor Vektor, who will tell V that Razor is weak to hits in the torso because he recently had new abdominal muscles implanted. Punching Razor in the gut will stagger him for a few seconds. Razor is fast and hits hard but can be stun-locked by repeatedly breaking his guard with charged punches using Gorilla Arms. He also badly telegraphs his moves; a well-timed guard will turn into a counter with a brief couple of seconds of slowed-down time, letting V get several key punches into his gut.
If V accepted to throw the fight and lost:
Coach Fred rewards V with the standard €$50,000 and an extra €$20,000. Viktor will notice this and criticize V for it.
If V accepted to throw the fight and won:
Fred will be angry, but they will still reward the merc with €$50,000. Viktor and the other fighters will compliment V for winning the fight.
If V didn't accept to throw the fight and lost:
Fred is happy that V has changed their mind, offering €$50,000 plus an extra that V can either accept or decline. If accepting, Viktor will notice this and criticize V for it.
If V didn't accept to throw the fight and won:
Coach Fred will reward the standard €$50,000. Viktor and the other fighters will compliment V for winning the fight.
If V talked to the child and won the fight:
As V is leaving the venue, V will overhear the girl having a phone conversation with someone where it appears she lied about her family's situation in order to motivate V to win the fight so she can win more money betting on Razor losing. When confronted, the child will run away.
If V talked to the child and lost the fight:
She will ignore V.","This section requires expanding. Click here to add more.📝
Talk to the coach.
Defeat the training robot.
Talk to the coach.
Defeat all opponents to get to the final round.
Wait for the final fight."
KOLD_MIRAGE,Cyberpunk_2077,"If V reads the shard ""Notice of Expiration"" in Act II:
V learns about the the job by reading the Notice of Expiration shard.
If V has completed Spellbound:
Some time after completing Spellbound, Nix will text V stating he has decrypted the spellbook, and provides coordinates to a location deep in the Municipal Landfill, down the road past Medeski Fuel Station. Alternatively, the quest may be started by simply coming to this location sometime after completing Ghost Town.
The coordinates lead to an old freezer. Open it to find the corpse of Rache Bartmoss, and, after a short dialogue with Johnny Silverhand, scan the freezer and pick up Bartmoss' Cyberdeck.
Head to the Afterlife and show the deck to Nix, who will tell you that Bartmoss was likely killed by NetWatch. He will offer to decrypt the data on the deck, either now or at a later time.
Although he encounters little resistance when he begins accessing the deck, Nix soon trips a hidden piece of malware, and his cyberware begins to malfunction. Johnny reappears, recognizing the malware as a ""brain broiler"" and urging V to do something fast. There are two possible ways to save Nix. You can either override the power panel on the wall next to the door or jack into the computer next to Nix's desk to breach the cyberdeck yourself. The latter option will allow Nix full access to the deck's data, and out of gratitude for saving his life he will reward V with five quickhacks he found: Memory Wipe, Reboot Optics, Short Circuit, Sonic Shock, and System Collapse.","See where the coordinates lead.
Open the freezer.
Talk to Johnny.
Scan the freezer.
Take the deck.
Go to the Afterlife and talk to Nix.
If you choose not to let Nix decrypt the data:
Talk to Nix if you change your mind. [Optional]
Place the deck on Nix's desk.
Wait for Nix to finish the decryption.
Find a way to save Nix.
Talk to Nix."
Beat_on_the_Brat:_The_Glen,Cyberpunk_2077,"The opponent here is César Diego Ruiz, a member of the Valentinos and boxing champion of the Glen. He has a girlfriend, Micaela, with a baby on the way. In lieu of betting money, Ruiz will stake his ride, the Villefort Alvarado ""Vato"". In turn, you'll need to stake €$20,000.
This match may seem difficult at first, especially if challenging him at a lower level. Ruiz has a large health pool, and his signature attack can knock you out in as few as two hits. Fortunately, his signature attack has an extremely obvious tell. Back away from him a good distance, making sure to leave ample room to move on the right. Ruiz will put up his fists and step with a blur effect towards you before jumping and throwing a punch. Simply circle to the right of him when he begins to blur or before he jumps and his attack will be completely avoided, leaving him wide open for a few seconds. Punch Ruiz's head a few times before he turns around, then back off and wait for your stamina to recover. Rinse and repeat until he goes down.
You can also cheat a bit to give you a slight advantage by littering recovery items and non-lethal melee weapons on the court and pick them up during the fight to get around the block usually in place on these items during matches. Furthermore, recovery implants and the Gorilla Arms implant can be freely used if you have them installed.
When Ruiz is defeated, he will concede the money and car as promised, but you have a few options:
Take both the car and the money
Take the car, but leave Ruiz the money
Take the money, but leave Ruiz the car
Decline both the money and car
The options only affect your final reward and the discussion Ruiz and Micaela have afterwards. As long as you didn't take both the car and money, Ruiz and Micaela have the same reaction.","Go to the fight in the Glen.
Talk to the champion of the Glen.
Defeat César.
Talk to the champion of the Glen."
